name,poll,points,start,end,length
buttigieg,Economist/YouGovEconomist,5,2019-08-24,2019-08-27,3
harris,Economist/YouGovEconomist,8,2019-08-24,2019-08-27,3
yang,Economist/YouGovEconomist,2,2019-08-24,2019-08-27,3
o_rourke,Economist/YouGovEconomist,2,2019-08-24,2019-08-27,3
booker,Economist/YouGovEconomist,2,2019-08-24,2019-08-27,3
klobuchar,Economist/YouGovEconomist,1,2019-08-24,2019-08-27,3
castro,Economist/YouGovEconomist,1,2019-08-24,2019-08-27,3
bennet,Economist/YouGovEconomist,1,2019-08-24,2019-08-27,3
gabbard,Economist/YouGovEconomist,2,2019-08-24,2019-08-27,3
steyer,Economist/YouGovEconomist,1,2019-08-24,2019-08-27,3
warren,Economist/YouGovEconomist,22,2019-09-01,2019-09-03,2
biden,Economist/YouGovEconomist,26,2019-09-01,2019-09-03,2
sanders,Economist/YouGovEconomist,14,2019-09-01,2019-09-03,2
buttigieg,Economist/YouGovEconomist,5,2019-09-01,2019-09-03,2
harris,Economist/YouGovEconomist,5,2019-09-01,2019-09-03,2
yang,Economist/YouGovEconomist,3,2019-09-01,2019-09-03,2
o_rourke,Economist/YouGovEconomist,1,2019-09-01,2019-09-03,2
booker,Economist/YouGovEconomist,1,2019-09-01,2019-09-03,2
klobuchar,Economist/YouGovEconomist,0,2019-09-01,2019-09-03,2
castro,Economist/YouGovEconomist,1,2019-09-01,2019-09-03,2
bennet,Economist/YouGovEconomist,1,2019-09-01,2019-09-03,2
gabbard,Economist/YouGovEconomist,3,2019-09-01,2019-09-03,2
steyer,Economist/YouGovEconomist,0,2019-09-01,2019-09-03,2
warren,Economist/YouGovEconomist,26,2019-09-08,2019-09-10,2
biden,Economist/YouGovEconomist,26,2019-09-08,2019-09-10,2
sanders,Economist/YouGovEconomist,16,2019-09-08,2019-09-10,2
buttigieg,Economist/YouGovEconomist,6,2019-09-08,2019-09-10,2
harris,Economist/YouGovEconomist,6,2019-09-08,2019-09-10,2
yang,Economist/YouGovEconomist,2,2019-09-08,2019-09-10,2
o_rourke,Economist/YouGovEconomist,1,2019-09-08,2019-09-10,2
booker,Economist/YouGovEconomist,2,2019-09-08,2019-09-10,2
klobuchar,Economist/YouGovEconomist,1,2019-09-08,2019-09-10,2
castro,Economist/YouGovEconomist,1,2019-09-08,2019-09-10,2
bennet,Economist/YouGovEconomist,1,2019-09-08,2019-09-10,2
gabbard,Economist/YouGovEconomist,1,2019-09-08,2019-09-10,2
steyer,Economist/YouGovEconomist,0,2019-09-08,2019-09-10,2
warren,Economist/YouGovEconomist,21,2019-09-14,2019-09-17,3
biden,Economist/YouGovEconomist,26,2019-09-14,2019-09-17,3
sanders,Economist/YouGovEconomist,14,2019-09-14,2019-09-17,3
buttigieg,Economist/YouGovEconomist,9,2019-09-14,2019-09-17,3
harris,Economist/YouGovEconomist,6,2019-09-14,2019-09-17,3
yang,Economist/YouGovEconomist,3,2019-09-14,2019-09-17,3
o_rourke,Economist/YouGovEconomist,3,2019-09-14,2019-09-17,3
booker,Economist/YouGovEconomist,2,2019-09-14,2019-09-17,3
klobuchar,Economist/YouGovEconomist,1,2019-09-14,2019-09-17,3
castro,Economist/YouGovEconomist,1,2019-09-14,2019-09-17,3
bennet,Economist/YouGovEconomist,1,2019-09-14,2019-09-17,3
gabbard,Economist/YouGovEconomist,2,2019-09-14,2019-09-17,3
steyer,Economist/YouGovEconomist,0,2019-09-14,2019-09-17,3
warren,Economist/YouGovEconomist,27,2019-09-22,2019-09-24,2
biden,Economist/YouGovEconomist,26,2019-09-22,2019-09-24,2
sanders,Economist/YouGovEconomist,16,2019-09-22,2019-09-24,2
buttigieg,Economist/YouGovEconomist,6,2019-09-22,2019-09-24,2
harris,Economist/YouGovEconomist,4,2019-09-22,2019-09-24,2
yang,Economist/YouGovEconomist,2,2019-09-22,2019-09-24,2
o_rourke,Economist/YouGovEconomist,2,2019-09-22,2019-09-24,2
booker,Economist/YouGovEconomist,0,2019-09-22,2019-09-24,2
klobuchar,Economist/YouGovEconomist,1,2019-09-22,2019-09-24,2
castro,Economist/YouGovEconomist,0,2019-09-22,2019-09-24,2
bennet,Economist/YouGovEconomist,1,2019-09-22,2019-09-24,2
gabbard,Economist/YouGovEconomist,1,2019-09-22,2019-09-24,2
steyer,Economist/YouGovEconomist,0,2019-09-22,2019-09-24,2
warren,Economist/YouGovEconomist,28,2019-09-28,2019-10-01,3
biden,Economist/YouGovEconomist,22,2019-09-28,2019-10-01,3
sanders,Economist/YouGovEconomist,13,2019-09-28,2019-10-01,3
buttigieg,Economist/YouGovEconomist,7,2019-09-28,2019-10-01,3
harris,Economist/YouGovEconomist,5,2019-09-28,2019-10-01,3
yang,Economist/YouGovEconomist,3,2019-09-28,2019-10-01,3
o_rourke,Economist/YouGovEconomist,3,2019-09-28,2019-10-01,3
booker,Economist/YouGovEconomist,2,2019-09-28,2019-10-01,3
klobuchar,Economist/YouGovEconomist,1,2019-09-28,2019-10-01,3
castro,Economist/YouGovEconomist,1,2019-09-28,2019-10-01,3
bennet,Economist/YouGovEconomist,2,2019-09-28,2019-10-01,3
gabbard,Economist/YouGovEconomist,2,2019-09-28,2019-10-01,3
steyer,Economist/YouGovEconomist,1,2019-09-28,2019-10-01,3
warren,EmersonEmerson,15,2019-08-24,2019-08-26,2
biden,EmersonEmerson,31,2019-08-24,2019-08-26,2
sanders,EmersonEmerson,24,2019-08-24,2019-08-26,2
buttigieg,EmersonEmerson,3,2019-08-24,2019-08-26,2
harris,EmersonEmerson,10,2019-08-24,2019-08-26,2
yang,EmersonEmerson,4,2019-08-24,2019-08-26,2
o_rourke,EmersonEmerson,3,2019-08-24,2019-08-26,2
booker,EmersonEmerson,3,2019-08-24,2019-08-26,2
klobuchar,EmersonEmerson,1,2019-08-24,2019-08-26,2
castro,EmersonEmerson,1,2019-08-24,2019-08-26,2
bennet,EmersonEmerson,0,2019-08-24,2019-08-26,2
gabbard,EmersonEmerson,3,2019-08-24,2019-08-26,2
steyer,EmersonEmerson,0,2019-08-24,2019-08-26,2
warren,EmersonEmerson,23,2019-09-21,2019-09-23,2
biden,EmersonEmerson,25,2019-09-21,2019-09-23,2
sanders,EmersonEmerson,22,2019-09-21,2019-09-23,2
buttigieg,EmersonEmerson,6,2019-09-21,2019-09-23,2
harris,EmersonEmerson,4,2019-09-21,2019-09-23,2
yang,EmersonEmerson,8,2019-09-21,2019-09-23,2
o_rourke,EmersonEmerson,1,2019-09-21,2019-09-23,2
booker,EmersonEmerson,2,2019-09-21,2019-09-23,2
klobuchar,EmersonEmerson,0,2019-09-21,2019-09-23,2
castro,EmersonEmerson,2,2019-09-21,2019-09-23,2
bennet,EmersonEmerson,0,2019-09-21,2019-09-23,2
gabbard,EmersonEmerson,1,2019-09-21,2019-09-23,2
steyer,EmersonEmerson,0,2019-09-21,2019-09-23,2
warren,FOX NewsFOX News,20,2019-08-11,2019-08-13,2
biden,FOX NewsFOX News,31,2019-08-11,2019-08-13,2
sanders,FOX NewsFOX News,10,2019-08-11,2019-08-13,2
buttigieg,FOX NewsFOX News,3,2019-08-11,2019-08-13,2
harris,FOX NewsFOX News,8,2019-08-11,2019-08-13,2
yang,FOX NewsFOX News,3,2019-08-11,2019-08-13,2
o_rourke,FOX NewsFOX News,2,2019-08-11,2019-08-13,2
booker,FOX NewsFOX News,3,2019-08-11,2019-08-13,2
klobuchar,FOX NewsFOX News,2,2019-08-11,2019-08-13,2
castro,FOX NewsFOX News,1,2019-08-11,2019-08-13,2
bennet,FOX NewsFOX News,0,2019-08-11,2019-08-13,2
gabbard,FOX NewsFOX News,1,2019-08-11,2019-08-13,2
steyer,FOX NewsFOX News,1,2019-08-11,2019-08-13,2
warren,FOX NewsFOX News,16,2019-09-15,2019-09-17,2
biden,FOX NewsFOX News,29,2019-09-15,2019-09-17,2
sanders,FOX NewsFOX News,18,2019-09-15,2019-09-17,2
buttigieg,FOX NewsFOX News,5,2019-09-15,2019-09-17,2
harris,FOX NewsFOX News,7,2019-09-15,2019-09-17,2
yang,FOX NewsFOX News,2,2019-09-15,2019-09-17,2
o_rourke,FOX NewsFOX News,4,2019-09-15,2019-09-17,2
booker,FOX NewsFOX News,3,2019-09-15,2019-09-17,2
klobuchar,FOX NewsFOX News,2,2019-09-15,2019-09-17,2
castro,FOX NewsFOX News,0,2019-09-15,2019-09-17,2
bennet,FOX NewsFOX News,1,2019-09-15,2019-09-17,2
gabbard,FOX NewsFOX News,0,2019-09-15,2019-09-17,2
steyer,FOX NewsFOX News,1,2019-09-15,2019-09-17,2
warren,Harvard-HarrisHarris,13,2019-08-26,2019-08-28,2
biden,Harvard-HarrisHarris,32,2019-08-26,2019-08-28,2
sanders,Harvard-HarrisHarris,16,2019-08-26,2019-08-28,2
buttigieg,Harvard-HarrisHarris,4,2019-08-26,2019-08-28,2
harris,Harvard-HarrisHarris,7,2019-08-26,2019-08-28,2
yang,Harvard-HarrisHarris,2,2019-08-26,2019-08-28,2
o_rourke,Harvard-HarrisHarris,4,2019-08-26,2019-08-28,2
booker,Harvard-HarrisHarris,3,2019-08-26,2019-08-28,2
klobuchar,Harvard-HarrisHarris,1,2019-08-26,2019-08-28,2
castro,Harvard-HarrisHarris,1,2019-08-26,2019-08-28,2
bennet,Harvard-HarrisHarris,NA,2019-08-26,2019-08-28,2
gabbard,Harvard-HarrisHarris,1,2019-08-26,2019-08-28,2
steyer,Harvard-HarrisHarris,1,2019-08-26,2019-08-28,2
warren,Harvard-HarrisHarris,17,2019-09-22,2019-09-24,2
biden,Harvard-HarrisHarris,28,2019-09-22,2019-09-24,2
sanders,Harvard-HarrisHarris,16,2019-09-22,2019-09-24,2
buttigieg,Harvard-HarrisHarris,3,2019-09-22,2019-09-24,2
harris,Harvard-HarrisHarris,6,2019-09-22,2019-09-24,2
yang,Harvard-HarrisHarris,3,2019-09-22,2019-09-24,2
o_rourke,Harvard-HarrisHarris,3,2019-09-22,2019-09-24,2
booker,Harvard-HarrisHarris,2,2019-09-22,2019-09-24,2
klobuchar,Harvard-HarrisHarris,1,2019-09-22,2019-09-24,2
castro,Harvard-HarrisHarris,2,2019-09-22,2019-09-24,2
bennet,Harvard-HarrisHarris,NA,2019-09-22,2019-09-24,2
gabbard,Harvard-HarrisHarris,1,2019-09-22,2019-09-24,2
steyer,Harvard-HarrisHarris,2,2019-09-22,2019-09-24,2
warren,IBD/TIPPIBD/TIPP,24,2019-08-22,2019-08-30,8
biden,IBD/TIPPIBD/TIPP,28,2019-08-22,2019-08-30,8
sanders,IBD/TIPPIBD/TIPP,12,2019-08-22,2019-08-30,8
buttigieg,IBD/TIPPIBD/TIPP,5,2019-08-22,2019-08-30,8
harris,IBD/TIPPIBD/TIPP,6,2019-08-22,2019-08-30,8
yang,IBD/TIPPIBD/TIPP,1,2019-08-22,2019-08-30,8
o_rourke,IBD/TIPPIBD/TIPP,0,2019-08-22,2019-08-30,8
booker,IBD/TIPPIBD/TIPP,4,2019-08-22,2019-08-30,8
klobuchar,IBD/TIPPIBD/TIPP,1,2019-08-22,2019-08-30,8
castro,IBD/TIPPIBD/TIPP,1,2019-08-22,2019-08-30,8
bennet,IBD/TIPPIBD/TIPP,0,2019-08-22,2019-08-30,8
gabbard,IBD/TIPPIBD/TIPP,0,2019-08-22,2019-08-30,8
steyer,IBD/TIPPIBD/TIPP,0,2019-08-22,2019-08-30,8
warren,IBD/TIPPIBD/TIPP,27,2019-09-26,2019-10-03,7
biden,IBD/TIPPIBD/TIPP,26,2019-09-26,2019-10-03,7
sanders,IBD/TIPPIBD/TIPP,10,2019-09-26,2019-10-03,7
buttigieg,IBD/TIPPIBD/TIPP,7,2019-09-26,2019-10-03,7
harris,IBD/TIPPIBD/TIPP,3,2019-09-26,2019-10-03,7
yang,IBD/TIPPIBD/TIPP,3,2019-09-26,2019-10-03,7
o_rourke,IBD/TIPPIBD/TIPP,2,2019-09-26,2019-10-03,7
booker,IBD/TIPPIBD/TIPP,0,2019-09-26,2019-10-03,7
klobuchar,IBD/TIPPIBD/TIPP,1,2019-09-26,2019-10-03,7
castro,IBD/TIPPIBD/TIPP,1,2019-09-26,2019-10-03,7
bennet,IBD/TIPPIBD/TIPP,0,2019-09-26,2019-10-03,7
gabbard,IBD/TIPPIBD/TIPP,1,2019-09-26,2019-10-03,7
steyer,IBD/TIPPIBD/TIPP,0,2019-09-26,2019-10-03,7
warren,LA Times/USCLA Times,11,2019-08-12,2019-09-08,27
biden,LA Times/USCLA Times,28,2019-08-12,2019-09-08,27
sanders,LA Times/USCLA Times,13,2019-08-12,2019-09-08,27
buttigieg,LA Times/USCLA Times,4,2019-08-12,2019-09-08,27
harris,LA Times/USCLA Times,8,2019-08-12,2019-09-08,27
yang,LA Times/USCLA Times,2,2019-08-12,2019-09-08,27
o_rourke,LA Times/USCLA Times,3,2019-08-12,2019-09-08,27
booker,LA Times/USCLA Times,2,2019-08-12,2019-09-08,27
klobuchar,LA Times/USCLA Times,1,2019-08-12,2019-09-08,27
castro,LA Times/USCLA Times,0,2019-08-12,2019-09-08,27
bennet,LA Times/USCLA Times,0,2019-08-12,2019-09-08,27
gabbard,LA Times/USCLA Times,1,2019-08-12,2019-09-08,27
steyer,LA Times/USCLA Times,0,2019-08-12,2019-09-08,27
warren,MonmouthMonmouth,20,2019-08-16,2019-08-20,4
biden,MonmouthMonmouth,19,2019-08-16,2019-08-20,4
sanders,MonmouthMonmouth,20,2019-08-16,2019-08-20,4
buttigieg,MonmouthMonmouth,4,2019-08-16,2019-08-20,4
harris,MonmouthMonmouth,8,2019-08-16,2019-08-20,4
yang,MonmouthMonmouth,3,2019-08-16,2019-08-20,4
o_rourke,MonmouthMonmouth,2,2019-08-16,2019-08-20,4
booker,MonmouthMonmouth,4,2019-08-16,2019-08-20,4
klobuchar,MonmouthMonmouth,1,2019-08-16,2019-08-20,4
castro,MonmouthMonmouth,2,2019-08-16,2019-08-20,4
bennet,MonmouthMonmouth,0,2019-08-16,2019-08-20,4
gabbard,MonmouthMonmouth,1,2019-08-16,2019-08-20,4
steyer,MonmouthMonmouth,0,2019-08-16,2019-08-20,4
warren,MonmouthMonmouth,28,2019-09-23,2019-09-29,6
biden,MonmouthMonmouth,25,2019-09-23,2019-09-29,6
sanders,MonmouthMonmouth,15,2019-09-23,2019-09-29,6
buttigieg,MonmouthMonmouth,5,2019-09-23,2019-09-29,6
harris,MonmouthMonmouth,5,2019-09-23,2019-09-29,6
yang,MonmouthMonmouth,2,2019-09-23,2019-09-29,6
o_rourke,MonmouthMonmouth,1,2019-09-23,2019-09-29,6
booker,MonmouthMonmouth,1,2019-09-23,2019-09-29,6
klobuchar,MonmouthMonmouth,1,2019-09-23,2019-09-29,6
castro,MonmouthMonmouth,1,2019-09-23,2019-09-29,6
bennet,MonmouthMonmouth,0,2019-09-23,2019-09-29,6
gabbard,MonmouthMonmouth,0,2019-09-23,2019-09-29,6
steyer,MonmouthMonmouth,1,2019-09-23,2019-09-29,6
warren,NBC News/Wall St. JrnlNBC/WSJ,25,2019-09-13,2019-09-16,3
biden,NBC News/Wall St. JrnlNBC/WSJ,31,2019-09-13,2019-09-16,3
sanders,NBC News/Wall St. JrnlNBC/WSJ,14,2019-09-13,2019-09-16,3
buttigieg,NBC News/Wall St. JrnlNBC/WSJ,7,2019-09-13,2019-09-16,3
harris,NBC News/Wall St. JrnlNBC/WSJ,5,2019-09-13,2019-09-16,3
yang,NBC News/Wall St. JrnlNBC/WSJ,4,2019-09-13,2019-09-16,3
o_rourke,NBC News/Wall St. JrnlNBC/WSJ,1,2019-09-13,2019-09-16,3
booker,NBC News/Wall St. JrnlNBC/WSJ,2,2019-09-13,2019-09-16,3
klobuchar,NBC News/Wall St. JrnlNBC/WSJ,2,2019-09-13,2019-09-16,3
castro,NBC News/Wall St. JrnlNBC/WSJ,1,2019-09-13,2019-09-16,3
bennet,NBC News/Wall St. JrnlNBC/WSJ,1,2019-09-13,2019-09-16,3
gabbard,NBC News/Wall St. JrnlNBC/WSJ,1,2019-09-13,2019-09-16,3
steyer,NBC News/Wall St. JrnlNBC/WSJ,1,2019-09-13,2019-09-16,3
warren,Politico/Morning ConsultPolitico,15,2019-08-01,2019-08-04,3
warren,Politico/Morning ConsultPolitico,15,2019-08-01,2019-08-01,0
biden,Politico/Morning ConsultPolitico,33,2019-08-01,2019-08-04,3
biden,Politico/Morning ConsultPolitico,32,2019-08-01,2019-08-01,0
sanders,Politico/Morning ConsultPolitico,19,2019-08-01,2019-08-04,3
sanders,Politico/Morning ConsultPolitico,18,2019-08-01,2019-08-01,0
buttigieg,Politico/Morning ConsultPolitico,6,2019-08-01,2019-08-04,3
buttigieg,Politico/Morning ConsultPolitico,6,2019-08-01,2019-08-01,0
harris,Politico/Morning ConsultPolitico,9,2019-08-01,2019-08-04,3
harris,Politico/Morning ConsultPolitico,10,2019-08-01,2019-08-01,0
yang,Politico/Morning ConsultPolitico,2,2019-08-01,2019-08-04,3
yang,Politico/Morning ConsultPolitico,2,2019-08-01,2019-08-01,0
o_rourke,Politico/Morning ConsultPolitico,3,2019-08-01,2019-08-04,3
o_rourke,Politico/Morning ConsultPolitico,3,2019-08-01,2019-08-01,0
booker,Politico/Morning ConsultPolitico,3,2019-08-01,2019-08-04,3
booker,Politico/Morning ConsultPolitico,3,2019-08-01,2019-08-01,0
klobuchar,Politico/Morning ConsultPolitico,1,2019-08-01,2019-08-04,3
klobuchar,Politico/Morning ConsultPolitico,1,2019-08-01,2019-08-01,0
castro,Politico/Morning ConsultPolitico,1,2019-08-01,2019-08-04,3
castro,Politico/Morning ConsultPolitico,1,2019-08-01,2019-08-01,0
bennet,Politico/Morning ConsultPolitico,0,2019-08-01,2019-08-04,3
bennet,Politico/Morning ConsultPolitico,0,2019-08-01,2019-08-01,0
gabbard,Politico/Morning ConsultPolitico,1,2019-08-01,2019-08-04,3
gabbard,Politico/Morning ConsultPolitico,1,2019-08-01,2019-08-01,0
steyer,Politico/Morning ConsultPolitico,1,2019-08-01,2019-08-04,3
steyer,Politico/Morning ConsultPolitico,1,2019-08-01,2019-08-01,0
warren,Politico/Morning ConsultPolitico,14,2019-08-05,2019-08-11,6
biden,Politico/Morning ConsultPolitico,33,2019-08-05,2019-08-11,6
sanders,Politico/Morning ConsultPolitico,20,2019-08-05,2019-08-11,6
buttigieg,Politico/Morning ConsultPolitico,5,2019-08-05,2019-08-11,6
harris,Politico/Morning ConsultPolitico,9,2019-08-05,2019-08-11,6
yang,Politico/Morning ConsultPolitico,2,2019-08-05,2019-08-11,6
o_rourke,Politico/Morning ConsultPolitico,3,2019-08-05,2019-08-11,6
booker,Politico/Morning ConsultPolitico,3,2019-08-05,2019-08-11,6
klobuchar,Politico/Morning ConsultPolitico,1,2019-08-05,2019-08-11,6
castro,Politico/Morning ConsultPolitico,1,2019-08-05,2019-08-11,6
bennet,Politico/Morning ConsultPolitico,1,2019-08-05,2019-08-11,6
gabbard,Politico/Morning ConsultPolitico,1,2019-08-05,2019-08-11,6
steyer,Politico/Morning ConsultPolitico,1,2019-08-05,2019-08-11,6
warren,Politico/Morning ConsultPolitico,15,2019-08-12,2019-08-18,6
biden,Politico/Morning ConsultPolitico,31,2019-08-12,2019-08-18,6
sanders,Politico/Morning ConsultPolitico,20,2019-08-12,2019-08-18,6
buttigieg,Politico/Morning ConsultPolitico,5,2019-08-12,2019-08-18,6
harris,Politico/Morning ConsultPolitico,9,2019-08-12,2019-08-18,6
yang,Politico/Morning ConsultPolitico,3,2019-08-12,2019-08-18,6
o_rourke,Politico/Morning ConsultPolitico,3,2019-08-12,2019-08-18,6
booker,Politico/Morning ConsultPolitico,3,2019-08-12,2019-08-18,6
klobuchar,Politico/Morning ConsultPolitico,1,2019-08-12,2019-08-18,6
castro,Politico/Morning ConsultPolitico,1,2019-08-12,2019-08-18,6
bennet,Politico/Morning ConsultPolitico,0,2019-08-12,2019-08-18,6
gabbard,Politico/Morning ConsultPolitico,1,2019-08-12,2019-08-18,6
steyer,Politico/Morning ConsultPolitico,1,2019-08-12,2019-08-18,6
warren,Politico/Morning ConsultPolitico,15,2019-08-19,2019-08-25,6
biden,Politico/Morning ConsultPolitico,33,2019-08-19,2019-08-25,6
sanders,Politico/Morning ConsultPolitico,20,2019-08-19,2019-08-25,6
buttigieg,Politico/Morning ConsultPolitico,5,2019-08-19,2019-08-25,6
harris,Politico/Morning ConsultPolitico,8,2019-08-19,2019-08-25,6
yang,Politico/Morning ConsultPolitico,2,2019-08-19,2019-08-25,6
o_rourke,Politico/Morning ConsultPolitico,3,2019-08-19,2019-08-25,6
booker,Politico/Morning ConsultPolitico,3,2019-08-19,2019-08-25,6
klobuchar,Politico/Morning ConsultPolitico,1,2019-08-19,2019-08-25,6
castro,Politico/Morning ConsultPolitico,1,2019-08-19,2019-08-25,6
bennet,Politico/Morning ConsultPolitico,1,2019-08-19,2019-08-25,6
gabbard,Politico/Morning ConsultPolitico,1,2019-08-19,2019-08-25,6
steyer,Politico/Morning ConsultPolitico,1,2019-08-19,2019-08-25,6
warren,Politico/Morning ConsultPolitico,16,2019-08-26,2019-09-01,6
biden,Politico/Morning ConsultPolitico,32,2019-08-26,2019-09-01,6
sanders,Politico/Morning ConsultPolitico,20,2019-08-26,2019-09-01,6
buttigieg,Politico/Morning ConsultPolitico,5,2019-08-26,2019-09-01,6
harris,Politico/Morning ConsultPolitico,8,2019-08-26,2019-09-01,6
yang,Politico/Morning ConsultPolitico,3,2019-08-26,2019-09-01,6
o_rourke,Politico/Morning ConsultPolitico,3,2019-08-26,2019-09-01,6
booker,Politico/Morning ConsultPolitico,3,2019-08-26,2019-09-01,6
klobuchar,Politico/Morning ConsultPolitico,1,2019-08-26,2019-09-01,6
castro,Politico/Morning ConsultPolitico,1,2019-08-26,2019-09-01,6
bennet,Politico/Morning ConsultPolitico,1,2019-08-26,2019-09-01,6
gabbard,Politico/Morning ConsultPolitico,1,2019-08-26,2019-09-01,6
steyer,Politico/Morning ConsultPolitico,1,2019-08-26,2019-09-01,6
warren,Politico/Morning ConsultPolitico,16,2019-09-02,2019-09-08,6
biden,Politico/Morning ConsultPolitico,33,2019-09-02,2019-09-08,6
sanders,Politico/Morning ConsultPolitico,21,2019-09-02,2019-09-08,6
buttigieg,Politico/Morning ConsultPolitico,5,2019-09-02,2019-09-08,6
