poll,start,end,name,points
Harvard-HarrisHarris,2019-03-25,2019-03-26,biden,26
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,biden,35
FOX NewsFOX News,2019-03-17,2019-03-20,biden,31
EmersonEmerson,2019-03-17,2019-03-18,biden,26
CNNCNN,2019-03-14,2019-03-17,biden,28
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,biden,35
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,biden,31
MonmouthMonmouth,2019-03-01,2019-03-04,biden,28
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,biden,31
Harvard-HarrisHarris,2019-02-19,2019-02-20,biden,37
Harvard-HarrisHarris,2019-02-19,2019-02-20,biden,30
RCP Average,2019-06-06,2019-06-18,sanders,15
Economist/YouGovEconomist,2019-06-16,2019-06-18,sanders,12
MonmouthMonmouth,2019-06-12,2019-06-17,sanders,14
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,sanders,13
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,sanders,19
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,sanders,15
FOX NewsFOX News,2019-06-09,2019-06-12,sanders,13
Economist/YouGovEconomist,2019-06-09,2019-06-11,sanders,12
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,sanders,19
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,sanders,19
Economist/YouGovEconomist,2019-06-02,2019-06-04,sanders,15
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,sanders,16
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,sanders,19
CNNCNN,2019-05-28,2019-05-31,sanders,18
Harvard-HarrisHarris,2019-05-29,2019-05-30,sanders,17
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,sanders,20
MonmouthMonmouth,2019-05-16,2019-05-20,sanders,15
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,sanders,14
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,sanders,16
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,sanders,19
FOX NewsFOX News,2019-05-11,2019-05-14,sanders,17
EmersonEmerson,2019-05-10,2019-05-13,sanders,25
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,sanders,19
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,sanders,14
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,sanders,19
Harvard-HarrisHarris,2019-04-30,2019-05-01,sanders,14
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,sanders,11
CNNCNN,2019-04-25,2019-04-28,sanders,15
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,sanders,22
MonmouthMonmouth,2019-04-11,2019-04-15,sanders,20
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,sanders,24
EmersonEmerson,2019-04-11,2019-04-14,sanders,29
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,sanders,23
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,sanders,23
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,sanders,19
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,sanders,25
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,sanders,19
Harvard-HarrisHarris,2019-03-25,2019-03-26,sanders,17
Harvard-HarrisHarris,2019-03-25,2019-03-26,sanders,18
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,sanders,25
FOX NewsFOX News,2019-03-17,2019-03-20,sanders,23
EmersonEmerson,2019-03-17,2019-03-18,sanders,26
CNNCNN,2019-03-14,2019-03-17,sanders,20
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,sanders,27
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,sanders,27
MonmouthMonmouth,2019-03-01,2019-03-04,sanders,25
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,sanders,27
Harvard-HarrisHarris,2019-02-19,2019-02-20,sanders,22
Harvard-HarrisHarris,2019-02-19,2019-02-20,sanders,19
RCP Average,2019-06-06,2019-06-18,warren,11.9
Economist/YouGovEconomist,2019-06-16,2019-06-18,warren,16
MonmouthMonmouth,2019-06-12,2019-06-17,warren,15
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,warren,7
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,warren,11
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,warren,10
FOX NewsFOX News,2019-06-09,2019-06-12,warren,9
Economist/YouGovEconomist,2019-06-09,2019-06-11,warren,16
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,warren,15
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,warren,11
Economist/YouGovEconomist,2019-06-02,2019-06-04,warren,12
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,warren,5
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,warren,10
CNNCNN,2019-05-28,2019-05-31,warren,7
Harvard-HarrisHarris,2019-05-29,2019-05-30,warren,5
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,warren,9
MonmouthMonmouth,2019-05-16,2019-05-20,warren,10
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,warren,8
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,warren,13
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,warren,9
FOX NewsFOX News,2019-05-11,2019-05-14,warren,9
EmersonEmerson,2019-05-10,2019-05-13,warren,10
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,warren,8
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,warren,7
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,warren,8
Harvard-HarrisHarris,2019-04-30,2019-05-01,warren,5
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,warren,12
CNNCNN,2019-04-25,2019-04-28,warren,8
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,warren,9
MonmouthMonmouth,2019-04-11,2019-04-15,warren,6
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,warren,7
EmersonEmerson,2019-04-11,2019-04-14,warren,7
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,warren,7
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,warren,7
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,warren,6
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,warren,7
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,warren,4
Harvard-HarrisHarris,2019-03-25,2019-03-26,warren,6
Harvard-HarrisHarris,2019-03-25,2019-03-26,warren,5
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,warren,7
FOX NewsFOX News,2019-03-17,2019-03-20,warren,4
EmersonEmerson,2019-03-17,2019-03-18,warren,8
CNNCNN,2019-03-14,2019-03-17,warren,6
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,warren,7
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,warren,7
MonmouthMonmouth,2019-03-01,2019-03-04,warren,8
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,warren,7
Harvard-HarrisHarris,2019-02-19,2019-02-20,warren,4
Harvard-HarrisHarris,2019-02-19,2019-02-20,warren,4
RCP Average,2019-06-06,2019-06-18,buttigieg,7.1
Economist/YouGovEconomist,2019-06-16,2019-06-18,buttigieg,9
MonmouthMonmouth,2019-06-12,2019-06-17,buttigieg,5
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,buttigieg,4
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,buttigieg,7
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,buttigieg,9
FOX NewsFOX News,2019-06-09,2019-06-12,buttigieg,8
Economist/YouGovEconomist,2019-06-09,2019-06-11,buttigieg,8
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,buttigieg,8
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,buttigieg,7
Economist/YouGovEconomist,2019-06-02,2019-06-04,buttigieg,10
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,buttigieg,8
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,buttigieg,7
CNNCNN,2019-05-28,2019-05-31,buttigieg,5
Harvard-HarrisHarris,2019-05-29,2019-05-30,buttigieg,5
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,buttigieg,7
MonmouthMonmouth,2019-05-16,2019-05-20,buttigieg,6
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,buttigieg,6
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,buttigieg,5
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,buttigieg,6
FOX NewsFOX News,2019-05-11,2019-05-14,buttigieg,6
EmersonEmerson,2019-05-10,2019-05-13,buttigieg,8
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,buttigieg,6
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,buttigieg,8
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,buttigieg,6
Harvard-HarrisHarris,2019-04-30,2019-05-01,buttigieg,2
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,buttigieg,10
CNNCNN,2019-04-25,2019-04-28,buttigieg,7
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,buttigieg,8
MonmouthMonmouth,2019-04-11,2019-04-15,buttigieg,8
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,buttigieg,9
EmersonEmerson,2019-04-11,2019-04-14,buttigieg,9
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,buttigieg,7
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,buttigieg,5
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,buttigieg,4
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,buttigieg,3
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,buttigieg,4
Harvard-HarrisHarris,2019-03-25,2019-03-26,buttigieg,2
Harvard-HarrisHarris,2019-03-25,2019-03-26,buttigieg,2
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,buttigieg,2
FOX NewsFOX News,2019-03-17,2019-03-20,buttigieg,1
EmersonEmerson,2019-03-17,2019-03-18,buttigieg,3
CNNCNN,2019-03-14,2019-03-17,buttigieg,1
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,buttigieg,1
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,buttigieg,1
MonmouthMonmouth,2019-03-01,2019-03-04,buttigieg,0
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,buttigieg,1
Harvard-HarrisHarris,2019-02-19,2019-02-20,buttigieg,--
Harvard-HarrisHarris,2019-02-19,2019-02-20,buttigieg,--
RCP Average,2019-06-06,2019-06-18,harris,7.1
Economist/YouGovEconomist,2019-06-16,2019-06-18,harris,7
MonmouthMonmouth,2019-06-12,2019-06-17,harris,8
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,harris,5
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,harris,7
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,harris,8
FOX NewsFOX News,2019-06-09,2019-06-12,harris,8
Economist/YouGovEconomist,2019-06-09,2019-06-11,harris,7
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,harris,7
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,harris,7
Economist/YouGovEconomist,2019-06-02,2019-06-04,harris,9
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,harris,4
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,harris,7
CNNCNN,2019-05-28,2019-05-31,harris,8
Harvard-HarrisHarris,2019-05-29,2019-05-30,harris,8
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,harris,7
MonmouthMonmouth,2019-05-16,2019-05-20,harris,11
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,harris,6
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,harris,8
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,harris,8
FOX NewsFOX News,2019-05-11,2019-05-14,harris,5
EmersonEmerson,2019-05-10,2019-05-13,harris,10
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,harris,8
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,harris,6
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,harris,7
Harvard-HarrisHarris,2019-04-30,2019-05-01,harris,9
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,harris,8
CNNCNN,2019-04-25,2019-04-28,harris,5
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,harris,7
MonmouthMonmouth,2019-04-11,2019-04-15,harris,8
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,harris,8
EmersonEmerson,2019-04-11,2019-04-14,harris,8
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,harris,9
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,harris,9
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,harris,9
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,harris,8
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,harris,8
Harvard-HarrisHarris,2019-03-25,2019-03-26,harris,5
Harvard-HarrisHarris,2019-03-25,2019-03-26,harris,11
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,harris,8
FOX NewsFOX News,2019-03-17,2019-03-20,harris,8
EmersonEmerson,2019-03-17,2019-03-18,harris,12
CNNCNN,2019-03-14,2019-03-17,harris,12
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,harris,8
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,harris,10
MonmouthMonmouth,2019-03-01,2019-03-04,harris,10
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,harris,11
Harvard-HarrisHarris,2019-02-19,2019-02-20,harris,10
Harvard-HarrisHarris,2019-02-19,2019-02-20,harris,10
RCP Average,2019-06-06,2019-06-18,o_rourke,3.6
Economist/YouGovEconomist,2019-06-16,2019-06-18,o_rourke,3
MonmouthMonmouth,2019-06-12,2019-06-17,o_rourke,3
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,o_rourke,6
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,o_rourke,4
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,o_rourke,2
FOX NewsFOX News,2019-06-09,2019-06-12,o_rourke,4
Economist/YouGovEconomist,2019-06-09,2019-06-11,o_rourke,3
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,o_rourke,3
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,o_rourke,4
Economist/YouGovEconomist,2019-06-02,2019-06-04,o_rourke,2
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,o_rourke,4
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,o_rourke,4
CNNCNN,2019-05-28,2019-05-31,o_rourke,5
Harvard-HarrisHarris,2019-05-29,2019-05-30,o_rourke,4
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,o_rourke,4
MonmouthMonmouth,2019-05-16,2019-05-20,o_rourke,4
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,o_rourke,5
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,o_rourke,2
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,o_rourke,4
FOX NewsFOX News,2019-05-11,2019-05-14,o_rourke,4
EmersonEmerson,2019-05-10,2019-05-13,o_rourke,3
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,o_rourke,5
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,o_rourke,3
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,o_rourke,5
Harvard-HarrisHarris,2019-04-30,2019-05-01,o_rourke,3
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,o_rourke,5
CNNCNN,2019-04-25,2019-04-28,o_rourke,6
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,o_rourke,5
MonmouthMonmouth,2019-04-11,2019-04-15,o_rourke,4
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,o_rourke,6
EmersonEmerson,2019-04-11,2019-04-14,o_rourke,8
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,o_rourke,8
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,o_rourke,8
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,o_rourke,7
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,o_rourke,8
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,o_rourke,12
Harvard-HarrisHarris,2019-03-25,2019-03-26,o_rourke,7
Harvard-HarrisHarris,2019-03-25,2019-03-26,o_rourke,5
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,o_rourke,8
FOX NewsFOX News,2019-03-17,2019-03-20,o_rourke,8
EmersonEmerson,2019-03-17,2019-03-18,o_rourke,11
CNNCNN,2019-03-14,2019-03-17,o_rourke,11
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,o_rourke,8
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,o_rourke,7
MonmouthMonmouth,2019-03-01,2019-03-04,o_rourke,6
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,o_rourke,6
Harvard-HarrisHarris,2019-02-19,2019-02-20,o_rourke,6
Harvard-HarrisHarris,2019-02-19,2019-02-20,o_rourke,4
RCP Average,2019-06-06,2019-06-18,booker,2.3
Economist/YouGovEconomist,2019-06-16,2019-06-18,booker,2
MonmouthMonmouth,2019-06-12,2019-06-17,booker,2
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,booker,3
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,booker,3
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,booker,2
FOX NewsFOX News,2019-06-09,2019-06-12,booker,3
Economist/YouGovEconomist,2019-06-09,2019-06-11,booker,2
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,booker,1
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,booker,3
Economist/YouGovEconomist,2019-06-02,2019-06-04,booker,2
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,booker,3
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,booker,3
CNNCNN,2019-05-28,2019-05-31,booker,3
Harvard-HarrisHarris,2019-05-29,2019-05-30,booker,3
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,booker,3
MonmouthMonmouth,2019-05-16,2019-05-20,booker,1
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,booker,1
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,booker,3
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,booker,3
FOX NewsFOX News,2019-05-11,2019-05-14,booker,3
EmersonEmerson,2019-05-10,2019-05-13,booker,1
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,booker,3
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,booker,3
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,booker,3
Harvard-HarrisHarris,2019-04-30,2019-05-01,booker,3
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,booker,2
CNNCNN,2019-04-25,2019-04-28,booker,2
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,booker,3
MonmouthMonmouth,2019-04-11,2019-04-15,booker,2
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,booker,4
EmersonEmerson,2019-04-11,2019-04-14,booker,2
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,booker,4
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,booker,4
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,booker,6
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,booker,4
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,booker,2
Harvard-HarrisHarris,2019-03-25,2019-03-26,booker,4
Harvard-HarrisHarris,2019-03-25,2019-03-26,booker,3
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,booker,4
FOX NewsFOX News,2019-03-17,2019-03-20,booker,4
EmersonEmerson,2019-03-17,2019-03-18,booker,3
CNNCNN,2019-03-14,2019-03-17,booker,3
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,booker,4
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,booker,4
MonmouthMonmouth,2019-03-01,2019-03-04,booker,5
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,booker,4
Harvard-HarrisHarris,2019-02-19,2019-02-20,booker,2
Harvard-HarrisHarris,2019-02-19,2019-02-20,booker,5
RCP Average,2019-06-06,2019-06-18,yang,1.1
Economist/YouGovEconomist,2019-06-16,2019-06-18,yang,1
MonmouthMonmouth,2019-06-12,2019-06-17,yang,2
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,yang,0
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,yang,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,yang,1
FOX NewsFOX News,2019-06-09,2019-06-12,yang,2
Economist/YouGovEconomist,2019-06-09,2019-06-11,yang,1
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,yang,1
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,yang,1
Economist/YouGovEconomist,2019-06-02,2019-06-04,yang,1
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,yang,0
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,yang,1
CNNCNN,2019-05-28,2019-05-31,yang,1
Harvard-HarrisHarris,2019-05-29,2019-05-30,yang,1
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,yang,1
MonmouthMonmouth,2019-05-16,2019-05-20,yang,1
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,yang,1
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,yang,1
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,yang,1
FOX NewsFOX News,2019-05-11,2019-05-14,yang,1
EmersonEmerson,2019-05-10,2019-05-13,yang,1
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,yang,1
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,yang,1
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,yang,1
Harvard-HarrisHarris,2019-04-30,2019-05-01,yang,0
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,yang,1
CNNCNN,2019-04-25,2019-04-28,yang,1
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,yang,2
MonmouthMonmouth,2019-04-11,2019-04-15,yang,0
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,yang,2
EmersonEmerson,2019-04-11,2019-04-14,yang,3
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,yang,1
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,yang,1
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,yang,1
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,yang,--
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,yang,0
Harvard-HarrisHarris,2019-03-25,2019-03-26,yang,1
Harvard-HarrisHarris,2019-03-25,2019-03-26,yang,2
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,yang,--
FOX NewsFOX News,2019-03-17,2019-03-20,yang,1
EmersonEmerson,2019-03-17,2019-03-18,yang,1
CNNCNN,2019-03-14,2019-03-17,yang,--
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,yang,--
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,yang,--
MonmouthMonmouth,2019-03-01,2019-03-04,yang,1
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,yang,--
Harvard-HarrisHarris,2019-02-19,2019-02-20,yang,--
Harvard-HarrisHarris,2019-02-19,2019-02-20,yang,--
RCP Average,2019-06-06,2019-06-18,klobuchar,1.0
Economist/YouGovEconomist,2019-06-16,2019-06-18,klobuchar,1
MonmouthMonmouth,2019-06-12,2019-06-17,klobuchar,1
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,klobuchar,1
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,klobuchar,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,klobuchar,0
FOX NewsFOX News,2019-06-09,2019-06-12,klobuchar,2
Economist/YouGovEconomist,2019-06-09,2019-06-11,klobuchar,0
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,klobuchar,1
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,klobuchar,2
Economist/YouGovEconomist,2019-06-02,2019-06-04,klobuchar,1
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,klobuchar,1
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,klobuchar,1
CNNCNN,2019-05-28,2019-05-31,klobuchar,2
Harvard-HarrisHarris,2019-05-29,2019-05-30,klobuchar,0
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,klobuchar,1
MonmouthMonmouth,2019-05-16,2019-05-20,klobuchar,3
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,klobuchar,1
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,klobuchar,2
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,klobuchar,1
FOX NewsFOX News,2019-05-11,2019-05-14,klobuchar,2
EmersonEmerson,2019-05-10,2019-05-13,klobuchar,1
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,klobuchar,2
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,klobuchar,0
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,klobuchar,2
