poll,start,end,name,points
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,warren,8
Harvard-HarrisHarris,2019-04-30,2019-05-01,warren,5
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,warren,12
CNNCNN,2019-04-25,2019-04-28,warren,8
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,warren,9
MonmouthMonmouth,2019-04-11,2019-04-15,warren,6
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,warren,7
EmersonEmerson,2019-04-11,2019-04-14,warren,7
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,warren,7
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,warren,7
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,warren,6
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,warren,7
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,warren,4
RCP Average,2019-06-28,2019-07-08,buttigieg,5.3
EmersonEmerson,2019-07-06,2019-07-08,buttigieg,5
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,buttigieg,6
Economist/YouGovEconomist,2019-06-30,2019-07-02,buttigieg,8
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,buttigieg,4
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,buttigieg,4
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,buttigieg,6
CNNCNN,2019-06-28,2019-06-30,buttigieg,4
Harvard-HarrisHarris,2019-06-26,2019-06-29,buttigieg,3
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,buttigieg,6
Economist/YouGovEconomist,2019-06-22,2019-06-25,buttigieg,6
EmersonEmerson,2019-06-21,2019-06-24,buttigieg,6
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,buttigieg,7
Economist/YouGovEconomist,2019-06-16,2019-06-18,buttigieg,9
MonmouthMonmouth,2019-06-12,2019-06-17,buttigieg,5
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,buttigieg,4
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,buttigieg,7
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,buttigieg,9
FOX NewsFOX News,2019-06-09,2019-06-12,buttigieg,8
Economist/YouGovEconomist,2019-06-09,2019-06-11,buttigieg,8
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,buttigieg,8
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,buttigieg,7
Economist/YouGovEconomist,2019-06-02,2019-06-04,buttigieg,10
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,buttigieg,8
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,buttigieg,7
CNNCNN,2019-05-28,2019-05-31,buttigieg,5
Harvard-HarrisHarris,2019-05-29,2019-05-30,buttigieg,5
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,buttigieg,7
MonmouthMonmouth,2019-05-16,2019-05-20,buttigieg,6
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,buttigieg,6
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,buttigieg,5
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,buttigieg,6
FOX NewsFOX News,2019-05-11,2019-05-14,buttigieg,6
EmersonEmerson,2019-05-10,2019-05-13,buttigieg,8
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,buttigieg,6
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,buttigieg,8
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,buttigieg,6
Harvard-HarrisHarris,2019-04-30,2019-05-01,buttigieg,2
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,buttigieg,10
CNNCNN,2019-04-25,2019-04-28,buttigieg,7
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,buttigieg,8
MonmouthMonmouth,2019-04-11,2019-04-15,buttigieg,8
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,buttigieg,9
EmersonEmerson,2019-04-11,2019-04-14,buttigieg,9
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,buttigieg,7
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,buttigieg,5
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,buttigieg,4
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,buttigieg,3
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,buttigieg,4
RCP Average,2019-06-28,2019-07-08,o_rourke,2.7
EmersonEmerson,2019-07-06,2019-07-08,o_rourke,4
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,o_rourke,3
Economist/YouGovEconomist,2019-06-30,2019-07-02,o_rourke,2
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,o_rourke,2
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,o_rourke,1
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,o_rourke,4
CNNCNN,2019-06-28,2019-06-30,o_rourke,3
Harvard-HarrisHarris,2019-06-26,2019-06-29,o_rourke,2
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,o_rourke,2
Economist/YouGovEconomist,2019-06-22,2019-06-25,o_rourke,3
EmersonEmerson,2019-06-21,2019-06-24,o_rourke,1
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,o_rourke,4
Economist/YouGovEconomist,2019-06-16,2019-06-18,o_rourke,3
MonmouthMonmouth,2019-06-12,2019-06-17,o_rourke,3
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,o_rourke,6
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,o_rourke,4
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,o_rourke,2
FOX NewsFOX News,2019-06-09,2019-06-12,o_rourke,4
Economist/YouGovEconomist,2019-06-09,2019-06-11,o_rourke,3
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,o_rourke,3
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,o_rourke,4
Economist/YouGovEconomist,2019-06-02,2019-06-04,o_rourke,2
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,o_rourke,4
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,o_rourke,4
CNNCNN,2019-05-28,2019-05-31,o_rourke,5
Harvard-HarrisHarris,2019-05-29,2019-05-30,o_rourke,4
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,o_rourke,4
MonmouthMonmouth,2019-05-16,2019-05-20,o_rourke,4
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,o_rourke,5
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,o_rourke,2
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,o_rourke,4
FOX NewsFOX News,2019-05-11,2019-05-14,o_rourke,4
EmersonEmerson,2019-05-10,2019-05-13,o_rourke,3
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,o_rourke,5
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,o_rourke,3
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,o_rourke,5
Harvard-HarrisHarris,2019-04-30,2019-05-01,o_rourke,3
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,o_rourke,5
CNNCNN,2019-04-25,2019-04-28,o_rourke,6
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,o_rourke,5
MonmouthMonmouth,2019-04-11,2019-04-15,o_rourke,4
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,o_rourke,6
EmersonEmerson,2019-04-11,2019-04-14,o_rourke,8
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,o_rourke,8
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,o_rourke,8
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,o_rourke,7
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,o_rourke,8
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,o_rourke,12
RCP Average,2019-06-28,2019-07-08,booker,2.1
EmersonEmerson,2019-07-06,2019-07-08,booker,2
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,booker,2
Economist/YouGovEconomist,2019-06-30,2019-07-02,booker,2
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,booker,1
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,booker,3
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,booker,2
CNNCNN,2019-06-28,2019-06-30,booker,3
Harvard-HarrisHarris,2019-06-26,2019-06-29,booker,3
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,booker,3
Economist/YouGovEconomist,2019-06-22,2019-06-25,booker,1
EmersonEmerson,2019-06-21,2019-06-24,booker,3
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,booker,3
Economist/YouGovEconomist,2019-06-16,2019-06-18,booker,2
MonmouthMonmouth,2019-06-12,2019-06-17,booker,2
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,booker,3
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,booker,3
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,booker,2
FOX NewsFOX News,2019-06-09,2019-06-12,booker,3
Economist/YouGovEconomist,2019-06-09,2019-06-11,booker,2
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,booker,1
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,booker,3
Economist/YouGovEconomist,2019-06-02,2019-06-04,booker,2
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,booker,3
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,booker,3
CNNCNN,2019-05-28,2019-05-31,booker,3
Harvard-HarrisHarris,2019-05-29,2019-05-30,booker,3
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,booker,3
MonmouthMonmouth,2019-05-16,2019-05-20,booker,1
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,booker,1
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,booker,3
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,booker,3
FOX NewsFOX News,2019-05-11,2019-05-14,booker,3
EmersonEmerson,2019-05-10,2019-05-13,booker,1
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,booker,3
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,booker,3
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,booker,3
Harvard-HarrisHarris,2019-04-30,2019-05-01,booker,3
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,booker,2
CNNCNN,2019-04-25,2019-04-28,booker,2
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,booker,3
MonmouthMonmouth,2019-04-11,2019-04-15,booker,2
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,booker,4
EmersonEmerson,2019-04-11,2019-04-14,booker,2
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,booker,4
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,booker,4
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,booker,6
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,booker,4
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,booker,2
RCP Average,2019-06-28,2019-07-08,yang,1.1
EmersonEmerson,2019-07-06,2019-07-08,yang,3
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,yang,1
Economist/YouGovEconomist,2019-06-30,2019-07-02,yang,1
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,yang,0
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,yang,1
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,yang,1
CNNCNN,2019-06-28,2019-06-30,yang,1
Harvard-HarrisHarris,2019-06-26,2019-06-29,yang,1
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,yang,2
Economist/YouGovEconomist,2019-06-22,2019-06-25,yang,1
EmersonEmerson,2019-06-21,2019-06-24,yang,1
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,yang,2
Economist/YouGovEconomist,2019-06-16,2019-06-18,yang,1
MonmouthMonmouth,2019-06-12,2019-06-17,yang,2
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,yang,0
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,yang,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,yang,1
FOX NewsFOX News,2019-06-09,2019-06-12,yang,2
Economist/YouGovEconomist,2019-06-09,2019-06-11,yang,1
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,yang,1
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,yang,1
Economist/YouGovEconomist,2019-06-02,2019-06-04,yang,1
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,yang,0
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,yang,1
CNNCNN,2019-05-28,2019-05-31,yang,1
Harvard-HarrisHarris,2019-05-29,2019-05-30,yang,1
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,yang,1
MonmouthMonmouth,2019-05-16,2019-05-20,yang,1
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,yang,1
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,yang,1
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,yang,1
FOX NewsFOX News,2019-05-11,2019-05-14,yang,1
EmersonEmerson,2019-05-10,2019-05-13,yang,1
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,yang,1
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,yang,1
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,yang,1
Harvard-HarrisHarris,2019-04-30,2019-05-01,yang,0
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,yang,1
CNNCNN,2019-04-25,2019-04-28,yang,1
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,yang,2
MonmouthMonmouth,2019-04-11,2019-04-15,yang,0
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,yang,2
EmersonEmerson,2019-04-11,2019-04-14,yang,3
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,yang,1
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,yang,1
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,yang,1
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,yang,--
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,yang,0
RCP Average,2019-06-28,2019-07-08,gabbard,1.1
EmersonEmerson,2019-07-06,2019-07-08,gabbard,2
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,gabbard,1
Economist/YouGovEconomist,2019-06-30,2019-07-02,gabbard,1
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,gabbard,1
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,gabbard,1
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,gabbard,1
CNNCNN,2019-06-28,2019-06-30,gabbard,1
Harvard-HarrisHarris,2019-06-26,2019-06-29,gabbard,2
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,gabbard,1
Economist/YouGovEconomist,2019-06-22,2019-06-25,gabbard,3
EmersonEmerson,2019-06-21,2019-06-24,gabbard,0
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,gabbard,1
Economist/YouGovEconomist,2019-06-16,2019-06-18,gabbard,1
MonmouthMonmouth,2019-06-12,2019-06-17,gabbard,1
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,gabbard,0
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,gabbard,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,gabbard,0
FOX NewsFOX News,2019-06-09,2019-06-12,gabbard,1
Economist/YouGovEconomist,2019-06-09,2019-06-11,gabbard,0
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,gabbard,0
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,gabbard,1
Economist/YouGovEconomist,2019-06-02,2019-06-04,gabbard,1
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,gabbard,0
